Metadata_well,Metadata_compound,Metadata_concentration
0,A01,DMSO,0
45,A02,DMSO,0
90,A03,DMSO,0
135,A04,DMSO,0
180,A05,BCC0126380,10mM
225,A06,BCC0126475,10mM
270,A07,BCC0126381,10mM
315,A08,BCC0126487,10mM
360,A09,BCC0126382,10mM
405,A10,BCC0126499,10mM
450,A11,BCC0126383,10mM
495,A12,BCC0126474,10mM
540,A13,BCC0126384,10mM
585,A14,BCC0126486,10mM
630,A15,BCC0126385,10mM
675,A16,BCC0126498,10mM
720,A17,BCC0126386,10mM
765,A18,BCC0126510,10mM
810,A19,BCC0126387,10mM
855,A20,BCC0126522,10mM
900,A21,BCC0126388,10mM
945,A22,BCC0126534,10mM
990,A23,BCC0126389,10mM
1035,A24,BCC0126546,10mM
1080,B01,DMSO,0
1125,B02,DMSO,0
1170,B03,DMSO,0
1215,B04,DMSO,0
1260,B05,BCC0126433,10mM
1305,B06,DMSO,0
1350,B07,BCC0126434,10mM
1395,B08,DMSO,0
1440,B09,BCC0126435,10mM
1485,B10,DMSO,0
1530,B11,BCC0126436,10mM
1575,B12,DMSO,0
1620,B13,BCC0126437,10mM
1665,B14,DMSO,0
1710,B15,BCC0126438,10mM
1755,B16,DMSO,0
1800,B17,BCC0126439,10mM
1845,B18,DMSO,0
1890,B19,BCC0126440,10mM
1935,B20,DMSO,0
1980,B21,BCC0126441,10mM
2025,B22,DMSO,0
2070,B23,BCC0126442,10mM
2115,B24,DMSO,0
2160,C01,DMSO,0
2205,C02,DMSO,0
2250,C03,DMSO,0
2295,C04,DMSO,0
2340,C05,BCC0126392,10mM
2385,C06,BCC0126476,10mM
2430,C07,BCC0126393,10mM
2475,C08,BCC0126477,10mM
2520,C09,BCC0126394,10mM
2565,C10,BCC0126478,10mM
2610,C11,BCC0126395,10mM
2655,C12,BCC0126479,10mM
2700,C13,BCC0126396,10mM
2745,C14,BCC0126480,10mM
2790,C15,BCC0126397,10mM
2835,C16,BCC0126481,10mM
2880,C17,BCC0126398,10mM
2925,C18,BCC0126482,10mM
2970,C19,BCC0126399,10mM
3015,C20,BCC0126483,10mM
3060,C21,BCC0126400,10mM
3105,C22,BCC0126484,10mM
3150,C23,BCC0126401,10mM
3195,C24,BCC0126485,10mM
3240,D01,DMSO,0
3285,D02,DMSO,0
3330,D03,DMSO,0
3375,D04,DMSO,0
3420,D05,BCC0126445,10mM
3465,D06,DMSO,0
3510,D07,BCC0126446,10mM
3555,D08,DMSO,0
3600,D09,BCC0126447,10mM
3645,D10,DMSO,0
3690,D11,BCC0126448,10mM
3735,D12,DMSO,0
3780,D13,BCC0126449,10mM
3825,D14,DMSO,0
3870,D15,BCC0126450,10mM
3915,D16,DMSO,0
3960,D17,BCC0126451,10mM
4005,D18,DMSO,0
4050,D19,BCC0126452,10mM
4095,D20,DMSO,0
4140,D21,BCC0126453,10mM
4185,D22,DMSO,0
4230,D23,BCC0126454,10mM
4275,D24,DMSO,0
4320,E01,DMSO,0
4365,E02,DMSO,0
4410,E03,DMSO,0
4455,E04,DMSO,0
4500,E05,BCC0126404,10mM
4545,E06,BCC0126488,10mM
4590,E07,BCC0126405,10mM
4635,E08,BCC0126489,10mM
4680,E09,BCC0126406,10mM
4725,E10,BCC0126490,10mM
4770,E11,BCC0126407,10mM
4815,E12,BCC0126491,10mM
4860,E13,BCC0126408,10mM
4905,E14,BCC0126492,10mM
4950,E15,BCC0126409,10mM
4995,E16,BCC0126493,10mM
5040,E17,BCC0126410,10mM
5085,E18,BCC0126494,10mM
5130,E19,BCC0126411,10mM
5175,E20,BCC0126495,10mM
5220,E21,BCC0126412,10mM
5265,E22,BCC0126496,10mM
5310,E23,BCC0126413,10mM
5355,E24,BCC0126497,10mM
5400,F01,DMSO,0
5445,F02,DMSO,0
5490,F03,DMSO,0
5535,F04,DMSO,0
5580,F05,BCC0126457,10mM
5625,F06,DMSO,0
5670,F07,BCC0126458,10mM
5715,F08,DMSO,0
5760,F09,BCC0126459,10mM
5805,F10,DMSO,0
5850,F11,BCC0126460,10mM
5895,F12,DMSO,0
5940,F13,BCC0126461,10mM
5985,F14,DMSO,0
6030,F15,BCC0126462,10mM
